n_pairs	n_pos	aupr	auroc	perm_p	tissue	method
223	112	0.5736850724452629	0.5402992277992279	0.05094905094905095	immune	pearson_coexpr
223	112	0.5936369370766976	0.5597651222651223	0.013986013986013986	immune	spearman_coexpr
223	112	0.5646705121854089	0.5320141570141569	0.07692307692307693	immune	distance_correlation
223	112	0.5719178405244041	0.5884813384813384	0.054945054945054944	immune	partial_correlation
223	112	0.531561292562018	0.5251769626769627	0.2647352647352647	immune	mutual_information
223	112	0.5434227628914459	0.5477799227799228	0.14285714285714285	immune	clr
223	112	0.518139080183643	0.509009009009009	0.14585414585414586	immune	aracne
223	112	0.5371066223574631	0.5272683397683398	0.01898101898101898	immune	lasso
223	112	0.5521231902164255	0.5374839124839126	0.011988011988011988	immune	elasticnet
223	112	0.5211629448508341	0.4750643500643501	0.3876123876123876	immune	grnboost2
223	112	0.555586636917581	0.5218790218790219	0.11988011988011989	immune	genie3
