n_pairs	n_pos	aupr	auroc	perm_p	tissue	method
214	106	0.5257165017116971	0.5096086652690426	0.2947052947052947	kidney	pearson_coexpr
214	106	0.54880549336667	0.5391334730957372	0.12687312687312688	kidney	spearman_coexpr
214	106	0.515635681283086	0.5080363382250175	0.3826173826173826	kidney	distance_correlation
214	106	0.5364189730709445	0.5157232704402516	0.17882117882117882	kidney	partial_correlation
214	106	0.4859834731046749	0.457416142557652	0.7122877122877123	kidney	mutual_information
214	106	0.5017462735346592	0.4944968553459119	0.5114885114885115	kidney	clr
214	106	0.5048250917365712	0.49170160726764495	0.3336663336663337	kidney	aracne
214	106	0.5030722304792133	0.5097396925227115	0.3956043956043956	kidney	lasso
214	106	0.505509200629109	0.49309923130677846	0.38161838161838163	kidney	elasticnet
214	106	0.49409293366778434	0.4869846261355695	0.6373626373626373	kidney	grnboost2
214	106	0.4787050817332683	0.4691649196366177	0.7872127872127872	kidney	genie3
